dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
tomcat,0,single_shap,0.742,10.124,10.421,0.3720930232558139,0.7811040339702761,0.3138546162649535,0.3102431310938693,0.6821970252913363,0.2857142857142857,0.5333333333333333,0.8726114649681529
tomcat,1,two_shap,1.7,8.042,8.318,0.3829787234042553,0.8078926282051282,0.4412432258628579,0.3184953133360476,0.6951065219972238,0.2903225806451613,0.5625,0.8589743589743589
tomcat,1,single_shap,0.803,7.051,7.325,0.3673469387755102,0.8012820512820513,0.4512813395788619,0.3014487665540703,0.6898996582558499,0.2727272727272727,0.5625,0.8461538461538461
tomcat,2,two_shap,2.138,7.597,7.886,0.4444444444444444,0.8525641025641025,0.402802180901026,0.3833582694465275,0.6793662204867574,0.4,0.5,0.9230769230769232
tomcat,2,single_shap,0.797,6.438,6.715,0.3684210526315789,0.8513621794871794,0.4529517491126271,0.2968659135525172,0.6288343917977867,0.3181818181818182,0.4375,0.903846153846154
tomcat,3,two_shap,1.668,7.879,8.144,0.3529411764705882,0.789957264957265,0.3811281807082848,0.2850438562747844,0.6055300708194984,0.3157894736842105,0.4,0.9166666666666666
tomcat,3,single_shap,0.822,7.062,7.328,0.4,0.823076923076923,0.3896104157553538,0.3374279417802262,0.6540472290116194,0.35,0.4666666666666667,0.9166666666666666
tomcat,4,two_shap,1.574,7.399,7.677,0.2727272727272727,0.7416666666666667,0.2676433227252162,0.1903866012735241,0.5839740071489835,0.2068965517241379,0.4,0.8525641025641025
tomcat,4,single_shap,0.756,6.455,6.722,0.3181818181818182,0.7388888888888889,0.2912462292190582,0.2454730798145946,0.6331308718224857,0.2413793103448276,0.4666666666666667,0.8589743589743589
xalan-2.4,0,two_shap,2.33,12.337,12.611,0.45,0.7930524759793052,0.3720321576507138,0.365478533874969,0.6157576048559333,0.5,0.4090909090909091,0.926829268292683
xalan-2.4,0,single_shap,0.803,8.779,9.046,0.4615384615384615,0.8043237250554325,0.4094896694889079,0.3836686724245169,0.6184523993714054,0.5294117647058824,0.4090909090909091,0.934959349593496
xalan-2.4,1,two_shap,2.52,6.387,8.519,0.5106382978723404,0.8342572062084257,0.5249180486979773,0.4176595708498058,0.6984302957695782,0.48,0.5454545454545454,0.8943089430894309
xalan-2.4,1,single_shap,0.846,4.602,4.957,0.5777777777777777,0.8398004434589801,0.5800685376947362,0.5004452099226312,0.7367955628288533,0.5652173913043478,0.5909090909090909,0.91869918699187
xalan-2.4,2,two_shap,1.766,7.735,8.0,0.4137931034482758,0.849039172209904,0.4410247215277096,0.2909242623707872,0.6625891564490792,0.3333333333333333,0.5454545454545454,0.8048780487804879
xalan-2.4,2,single_shap,0.854,6.797,7.053,0.5161290322580645,0.8547671840354767,0.4298447995697795,0.4271436463846988,0.765092055676006,0.4,0.7272727272727273,0.8048780487804879
xalan-2.4,3,two_shap,2.235,6.282,6.64,0.425531914893617,0.8019746646795827,0.4629497298861098,0.3149599014292485,0.6313942653610732,0.4,0.4545454545454545,0.8770491803278688
xalan-2.4,3,single_shap,0.774,4.84,5.188,0.4090909090909091,0.7952682563338301,0.4429864319191479,0.3025335320417288,0.6045653437334273,0.4090909090909091,0.4090909090909091,0.8934426229508197
xalan-2.4,4,two_shap,1.672,7.698,7.963,0.3508771929824561,0.7447839046199702,0.3306510328508014,0.2093805208482376,0.6011662783188852,0.2857142857142857,0.4545454545454545,0.7950819672131147
xalan-2.4,4,single_shap,0.88,6.947,7.21,0.3636363636363636,0.7412444113263785,0.3412757203235658,0.2277133522223619,0.607332247634187,0.303030303030303,0.4545454545454545,0.8114754098360656
