dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
KC2,4,gini,6,2.852,0.3888888888888889,0.6919104991394147,0.4634247452205484,0.270745174705331,0.5488212999484517,0.4666666666666667,0.3333333333333333,0.9036144578313252
KC2,4,mutual_info,8,2.649,0.358974358974359,0.6947791164658634,0.4370408336297152,0.2130756748569791,0.537732857937865,0.3888888888888889,0.3333333333333333,0.8674698795180723
KC2,4,variance,8,2.582,0.55,0.7013769363166955,0.4577926680985836,0.4440392044181795,0.6879839088699877,0.5789473684210527,0.5238095238095238,0.9036144578313252
MC2,0,shap,13,8.592,0.5882352941176471,0.6875,0.6832357428097096,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,0,gini,13,6.886,0.625,0.7569444444444444,0.7396344396344396,0.4602832499602864,0.6972166887783964,0.7142857142857143,0.5555555555555556,0.875
MC2,0,mutual_info,17,2.929,0.5882352941176471,0.78125,0.7398148148148149,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,0,variance,17,2.922,0.625,0.7569444444444444,0.7396344396344396,0.4602832499602864,0.6972166887783964,0.7142857142857143,0.5555555555555556,0.875
MC2,1,shap,17,3.609,0.5555555555555556,0.7951388888888888,0.7846560846560848,0.3055555555555556,0.6454972243679028,0.5555555555555556,0.5555555555555556,0.75
MC2,1,gini,17,3.543,0.5882352941176471,0.8298611111111112,0.7903050108932463,0.378726042189707,0.6718548123582124,0.625,0.5555555555555556,0.8125
MC2,1,mutual_info,13,3.943,0.5263157894736842,0.6701388888888888,0.6807539682539683,0.23814483610392,0.6180165405913053,0.5,0.5555555555555556,0.6875
MC2,1,variance,12,3.942,0.625,0.6840277777777779,0.6576527176527176,0.4602832499602864,0.6972166887783964,0.7142857142857143,0.5555555555555556,0.875
MC2,2,shap,14,3.823,0.5714285714285714,0.8472222222222222,0.803003423591659,0.4583333333333333,0.6454972243679028,0.8,0.4444444444444444,0.9375
MC2,2,gini,14,3.816,0.5714285714285714,0.8472222222222222,0.803003423591659,0.4583333333333333,0.6454972243679028,0.8,0.4444444444444444,0.9375
MC2,2,mutual_info,16,3.488,0.6666666666666666,0.8888888888888888,0.8327821869488536,0.5541466051858357,0.7216878364870323,0.8333333333333334,0.5555555555555556,0.9375
MC2,2,variance,15,3.155,0.4285714285714285,0.8263888888888888,0.7415522748856083,0.25,0.5400617248673216,0.6,0.3333333333333333,0.875
MC2,3,shap,16,3.606,0.0,0.6041666666666666,0.4397935277988672,-0.1530931089239486,0.0,0.0,0.0,0.9375
MC2,3,gini,17,3.751,0.1666666666666666,0.6458333333333334,0.4400300861085175,-0.0205152484965554,0.3118047822311617,0.3333333333333333,0.1111111111111111,0.875
MC2,3,mutual_info,18,3.247,0.1818181818181818,0.5451388888888888,0.4074092373005417,0.0860078077570233,0.3227486121839514,0.5,0.1111111111111111,0.9375
MC2,3,variance,16,3.416,0.0,0.4930555555555556,0.3571874204227145,-0.2211629342323457,0.0,0.0,0.0,0.875
MC2,4,shap,18,3.507,0.7368421052631579,0.8359375,0.6822916666666665,0.5913123959890826,0.8100925873009825,0.6363636363636364,0.875,0.75
MC2,4,gini,18,3.464,0.7058823529411765,0.83203125,0.640625,0.5477225575051662,0.7806247497997998,0.6666666666666666,0.75,0.8125
MC2,4,mutual_info,8,4.463,0.6666666666666666,0.82421875,0.6546942640692641,0.4780914437337574,0.75,0.6,0.75,0.75
MC2,4,variance,18,3.226,0.6666666666666666,0.80859375,0.6313988095238094,0.4780914437337574,0.75,0.6,0.75,0.75
MW1,0,shap,11,10.554,0.5,0.7622222222222222,0.4637606837606838,0.4418993202399135,0.7393691004272944,0.4285714285714285,0.6,0.9111111111111112
MW1,0,gini,19,7.419,0.3636363636363636,0.7955555555555557,0.3514240145819093,0.2872134789517764,0.6036923425424945,0.3333333333333333,0.4,0.9111111111111112
MW1,0,mutual_info,12,5.133,0.25,0.8222222222222223,0.4136936936936937,0.1965021149155211,0.4371625682868,0.3333333333333333,0.2,0.9555555555555556
MW1,0,variance,6,5.814,0.5,0.8088888888888889,0.3601587301587301,0.4418993202399135,0.7393691004272944,0.4285714285714285,0.6,0.9111111111111112
MW1,1,shap,7,5.535,0.5454545454545454,0.7377777777777778,0.5177777777777778,0.4923659639173309,0.7483314773547882,0.5,0.6,0.9333333333333332
MW1,1,gini,5,5.746,0.4615384615384615,0.7511111111111111,0.2577142857142857,0.4000661320993193,0.7302967433402214,0.375,0.6,0.8888888888888888
MW1,1,mutual_info,10,5.442,0.6,0.6177777777777779,0.5207246376811594,0.5555555555555556,0.7571877794400365,0.6,0.6,0.9555555555555556
MW1,1,variance,13,4.748,0.5454545454545454,0.6666666666666666,0.4637686344663088,0.4923659639173309,0.7483314773547882,0.5,0.6,0.9333333333333332
MW1,2,shap,19,4.457,0.5,0.6288888888888889,0.5381818181818181,0.477219421937694,0.6253887679764573,0.6666666666666666,0.4,0.9777777777777776
MW1,2,gini,7,6.075,0.4,0.7733333333333333,0.3876190476190475,0.3333333333333333,0.6110100926607787,0.4,0.4,0.9333333333333332
MW1,2,mutual_info,6,5.851,0.5,0.8822222222222222,0.4675033738191633,0.477219421937694,0.6253887679764573,0.6666666666666666,0.4,0.9777777777777776
MW1,2,variance,11,5.463,0.4444444444444444,0.7777777777777777,0.515352564102564,0.3931785497463923,0.6182412330330469,0.5,0.4,0.9555555555555556
MW1,3,shap,7,5.955,0.1818181818181818,0.6755555555555556,0.2037851037851037,0.0820609939862218,0.4216370213557839,0.1666666666666666,0.2,0.8888888888888888
MW1,3,gini,5,5.703,0.1666666666666666,0.6466666666666667,0.1623030303030303,0.0576390417704235,0.4163331998932265,0.1428571428571428,0.2,0.8666666666666667
MW1,3,mutual_info,5,5.645,0.1333333333333333,0.528888888888889,0.1378104371652758,0.0,0.4,0.1,0.2,0.8
MW1,3,variance,8,5.591,0.1666666666666666,0.6133333333333333,0.1555470085470085,0.0576390417704235,0.4163331998932265,0.1428571428571428,0.2,0.8666666666666667
MW1,4,shap,20,4.41,0.4444444444444444,0.6933333333333334,0.3071635610766045,0.3931785497463923,0.6182412330330469,0.5,0.4,0.9555555555555556
MW1,4,gini,16,4.77,0.25,0.7733333333333334,0.3616666666666666,0.1965021149155211,0.4371625682868,0.3333333333333333,0.2,0.9555555555555556
MW1,4,mutual_info,16,4.698,0.6,0.7222222222222223,0.4763636363636364,0.5555555555555556,0.7571877794400365,0.6,0.6,0.9555555555555556
MW1,4,variance,13,4.545,0.6,0.7711111111111111,0.5221680216802168,0.5555555555555556,0.7571877794400365,0.6,0.6,0.9555555555555556
