dataset,config,F1,AUC,MCC,Gmean
MW1,FIB_Borderline,0.3903651903651903,0.7266666666666668,0.32046123814691146,0.5998934438989283
MW1,FIB_Full,0.43434343434343436,0.6995555555555556,0.3773448499655105,0.6305935200294741
MW1,FIB_ShapOnly,0.353015873015873,0.7004444444444444,0.2773624508082263,0.5900179957776013
MW1,NoResample,0.20606060606060606,0.7071111111111111,0.20982364817130766,0.29962390670848205
MW1,SMOTE,0.34317460317460313,0.6937777777777778,0.2818467100763244,0.5615776894284015
MW1,SMOTETomek,0.34317460317460313,0.6995555555555555,0.2818467100763244,0.5615776894284015
PC1,ADASYN,0.394542884476215,0.8664510732767381,0.3556973679986772,0.652107182393515
PC1,BorderlineSMOTE,0.37257676712105464,0.8625456123071151,0.33344031727878043,0.6162331969734075
PC1,CostSensitive,0.3821871921182266,0.8693154343135877,0.3443366182363379,0.5932696369615149
PC1,FIB_Adaptive,0.3865883740883741,0.8668168609195941,0.35347249230490274,0.6041152721517644
PC1,FIB_Borderline,0.4163163683163683,0.8653884863123995,0.3806369743218937,0.6286724959190051
PC1,FIB_Full,0.40680824372759855,0.8639967246689493,0.3663557000818622,0.6301181189527227
PC1,FIB_ShapOnly,0.3511721630567131,0.8676683981364226,0.3123533048511319,0.5990419790020901
PC1,NoResample,0.37333333333333335,0.8587268909369479,0.3893477630618217,0.5203329141780855
PC1,SMOTE,0.3604289006614588,0.8606484022012726,0.3161051475958446,0.6218279240465316
PC1,SMOTETomek,0.36614401858304296,0.8567307564529493,0.3261558374701974,0.6152526452198973
PC3,ADASYN,0.39087211049360915,0.8115707764620808,0.2931008183673638,0.6570073360841887
PC3,BorderlineSMOTE,0.4000396702411207,0.8167668127994215,0.3064472186670712,0.652457377889159
PC3,CostSensitive,0.3361547493926829,0.8130757931844889,0.23466038217315344,0.5740185939427288
PC3,FIB_Adaptive,0.3837212935384051,0.8118448883666275,0.28992967552772886,0.6325649389821255
PC3,FIB_Borderline,0.37981819472304534,0.8191252372774113,0.2869389957983598,0.6235649999543115
PC3,FIB_Full,0.3876855878780695,0.8095875892615023,0.293397146706609,0.6382039142928624
PC3,FIB_ShapOnly,0.38774171860326134,0.8113209572448703,0.2920477108262283,0.648188516884275
